ID,Name,Sex,Age,Height,Weight,Team,NOC,Games,Year,Season,City,Sport,Event,Medal
46008,Albert Ab Hardy,M,37.0,175.0,70.0,Canada,CAN,1948 Winter,1948,Winter,Sankt Moritz,Speed Skating,Speed Skating Mens 1500 metres,NoMedal
113324,Drago otari,M,29.0,169.0,69.0,Yugoslavia,YUG,1972 Summer,1972,Summer,Munich,Gymnastics,Gymnastics Mens Parallel Bars,NoMedal
74945,Maurizio Margaglio,M,23.0,178.0,71.0,Italy-1,ITA,1998 Winter,1998,Winter,Nagano,Figure Skating,Figure Skating Mixed Ice Dancing,NoMedal
99629,Fazalur Rehman,M,31.0,169.0,75.0,Pakistan,PAK,1972 Summer,1972,Summer,Munich,Hockey,Hockey Mens Hockey,Silver
133634,Sarah M Sally Zack Endestad,F,29.0,160.0,50.0,United States,USA,1992 Summer,1992,Summer,Barcelona,Cycling,Cycling Womens Road Race Individual,NoMedal
15798,Chantal Margarita Brunner,F,29.0,168.0,58.0,New Zealand,NZL,2000 Summer,2000,Summer,Sydney,Athletics,Athletics Womens Long Jump,NoMedal
11452,Daria Eva Bijak,F,22.0,158.0,56.0,Germany,GER,2008 Summer,2008,Summer,Beijing,Gymnastics,Gymnastics Womens Floor Exercise,NoMedal
8994,Asle Leonhard Bkkedal,M,23.0,175.0,70.0,Norway,NOR,1920 Summer,1920,Summer,Antwerpen,Athletics,Athletics Mens 100 metres,NoMedal
69374,Li HoPyong,M,28.0,161.0,57.0,North Korea,PRK,1980 Summer,1980,Summer,Moskva,Wrestling,Wrestling Mens Bantamweight Freestyle,Silver
8459,Kalle Bask,M,29.0,191.0,81.0,Finland,FIN,2012 Summer,2012,Summer,London,Sailing,Sailing Mens Skiff,NoMedal
14994,Jean Ghislian Marie Joseph Lucien Breuls van Tiecken,M,25.0,175.0,70.0,Belgium,BEL,1924 Summer,1924,Summer,Paris,Equestrianism,Equestrianism Mens Jumping Individual,NoMedal
7692,Violet Awidi Barasa,F,25.0,178.0,66.0,Kenya,KEN,2000 Summer,2000,Summer,Sydney,Volleyball,Volleyball Womens Volleyball,NoMedal
13986,Alain Bouffard,M,25.0,165.0,52.0,France,FRA,1964 Summer,1964,Summer,Tokyo,Rowing,Rowing Mens Coxed Eights,NoMedal
90819,Amador Palma Iturraspe,M,21.0,175.0,70.0,Spain,ESP,1924 Summer,1924,Summer,Paris,Athletics,Athletics Mens CrossCountry Individual,NoMedal
10537,Arne Bergodd,M,24.0,190.0,84.0,Norway,NOR,1972 Summer,1972,Summer,Munich,Rowing,Rowing Mens Coxed Pairs,NoMedal
102167,Lon Roller,M,20.0,175.0,70.0,Luxembourg,LUX,1948 Summer,1948,Summer,London,Boxing,Boxing Mens Welterweight,NoMedal
135481,Jules Alexis Louis Zutter,M,30.0,175.0,70.0,Switzerland,SUI,1896 Summer,1896,Summer,Athina,Gymnastics,Gymnastics Mens Horizontal Bar,NoMedal
113672,Ioannis Jean Spanoudakis,M,24.0,175.0,70.0,Greece,GRE,1952 Summer,1952,Summer,Helsinki,Basketball,Basketball Mens Basketball,NoMedal
53886,Patrik Inge Johan Jrbyn,M,24.0,181.0,85.0,Sweden,SWE,1994 Winter,1994,Winter,Lillehammer,Alpine Skiing,Alpine Skiing Mens Downhill,NoMedal
69009,Roland Lessing,M,27.0,183.0,79.0,Estonia,EST,2006 Winter,2006,Winter,Torino,Biathlon,Biathlon Mens 4 x 75 kilometres Relay,NoMedal
